"Database Search","Title","Working Paper Series","Book (Chapter)","(Book) Series","Conference","Journal","Author(s)","Year","Empirical","Theoretical","Free product, cash back","Vouchers, gift card, coupon, reward points, bonus points, credits","Give-to-Get","Lottery","Discount, rebate","Pay per view/click","Money","Badge/Elite/level/rank/status","Donation/charitable incentives","Helping or compassionate incentive","Social incentives/norms","Service Strategy","Incentive not clear"
"Scopus Keyword Search","Text Performance on the Vine Stage? The Effect of Incentive on Product Review Text Quality","","","","","Information Systems Research","Qiao and Rui","2023","x","","x","","","","","","","x","","","","",""
"Scopus Keyword Search","Detecting incentivized review groups with co-review graph","","","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering","","","Zhang et al.","2020","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","The Effects of One-Sided vs. Two-Sided Review Valence on Electronic Word of Mouth (e-WOM): The Moderating Role of Sponsorship Presence","","","","","Asia Marketing Journal","Park et al.","2019","x","","","","","","","","","","","","","",""
"Scopus Backward Search","Can we trace back hotel online reviews’ characteristics using gamification features?","","","","","International Journal of Information Management","Moro et al.","2019","x","","","","","","","","","x","","","","",""
"Scopus Backward Search","Incentive Provision and Pro-Social Behaviors","","","","Hawaii International Conference on System Sciences (HICSS)","","Qiao et al.","2017","x","","x","","","","","","","","","","","",""
"Scopus Backward Search","Incentivized methods to generate electronic word-of-mouth: Implications for the resort industry","","","","","International Journal of Hospitality Management","Stanton et al.","2019","x","","x","","","","x","","x","","","","","",""
"Scopus Backward Search","The Effects of Money on Fake Rating Behavior in E-Commerce: Electrophysiological Time Course Evidence From Consumers","","","","","Frontiers in Neuroscience","Wang et al.","2018","x","","","x","","","","","","","","","","",""
"Scopus Backward Search","Motivation crowding in online product reviewing: A qualitative study of amazon reviewers","","","","","Information and Management","Wu","2019","x","","x","","","","x","","","","","","","",""
"Scopus Backward Search","Motives for posting fake reviews: Evidence from a cross-cultural comparison","","","","","Journal of Business Research","Zaman et al.","2022","x","","x","x","","","x","","","","","","","",""
"Scopus Backward Search","The Market for Reviews: Strategic Behavior of Online Product Reviewers with Monetary Incentives","","","","","Schmalenbach Business Review","Dorner et al.","2020","x","","","","","","","","x","","","","","",""
"Scopus Keyword Search","Stimulating positive reviews by combining financial and compassionate incentives","","","","","Internet Research","Wu et al.","2024","x","","","x","","","","","","","","x","","",""
"Scopus Backward Search","Positive and negative eWOM motivations and hotel customers’ eWOM behavior: Does personality matter?","","","","","International Journal of Hospitality Management","Hu and Kim","2018","x","","","","","","","","x","","","","","","x"
"Scopus Backward Search","Characterizing the dynamics and evolution of incentivized online reviews on Amazon","","","","","Social Network Analysis and Mining","Jamshidi et al.","2019","x","","x","","","","x","","","","","","","",""
"Scopus Keyword Search","Rebate incentive strategy for online reviews","","","","","Marketing Intelligence and Planning","Zhao et al.","2024","","x","","","","","x","","","","","","","",""
"Scopus Backward Search","Online reviews generated through product testing: can more favorable reviews be enticed with free products?","","","","","Journal of the Academy of Marketing Science","Garnefeld et al.","2021","x","","x","","","","","","","","","","","",""
